,Type,Date,Num,Source Name,Name Address,Name Street1,Name Street2,Name City,Name State,Name Zip,Name Contact,Name Phone #,Name Fax #,Name E-Mail,Memo,Name,Terms,total Quantity,Item,Class,Qty,Sales Price,Amount,Balance,State,Ship To Address 1,Ship To Address 2,Ship To State,Ship Zip,Notes,Last Name,First Name
,Invoice,12/27/2017,92904,David Knox,"5145 Pollard Loaf Apt. 551, Elizabethport, KY 25536",5145 Pollard Loaf Apt. 551,,Elizabethport,KY,25536,,+1-914-615-8924x14501,,kellypaul@butler-jennings.biz,Generated Invoice,David Knox,Credit Card,,Require,General,1,42.62,42.62,42.62,Latest,,,,,,Knox,David
Total David Knox,,,,,,,,,,,,,,,,,,,3,,193.73999999999998,193.73999999999998,,,,,,,,,,
Darren Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,12/02/2022,51579,Darren Williams,"306 Payne Loop, Walkerville, MA 96070",306 Payne Loop,,Walkerville,MA,96070,,4147714703,,mmooney@garcia-flores.org,Generated Invoice,Darren Williams,Credit Card,,Carry,General,2,12.25,24.5,24.5,Latest,,,,,,Williams,Darren
,Invoice,07/04/2020,45466,Darren Williams,"306 Payne Loop, Walkerville, MA 96070",306 Payne Loop,,Walkerville,MA,96070,,4147714703,,mmooney@garcia-flores.org,Generated Invoice,Darren Williams,Credit Card,,Side,General,3,45.38,136.14,136.14,Latest,,,,,,Williams,Darren
,Invoice,03/01/2018,90777,Darren Williams,"306 Payne Loop, Walkerville, MA 96070",306 Payne Loop,,Walkerville,MA,96070,,4147714703,,mmooney@garcia-flores.org,Generated Invoice,Darren Williams,Credit Card,,Baby,General,4,6.07,24.28,24.28,Latest,,,,,,Williams,Darren
Total Darren Williams,,,,,,,,,,,,,,,,,,,3,,184.92,184.92,,,,,,,,,,
Paula Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,11/14/2016,61226,Paula Davis,"313 Aaron Rapid, South Barbaraview, NJ 00710",313 Aaron Rapid,,South Barbaraview,NJ,00710,,+1-811-476-5942x71977,,sharonmcgrath@hotmail.com,Generated Invoice,Paula Davis,Credit Card,,Then,General,1,24.26,24.26,24.26,Latest,,,,,,Davis,Paula
,Invoice,03/31/2022,10578,Paula Davis,"313 Aaron Rapid, South Barbaraview, NJ 00710",313 Aaron Rapid,,South Barbaraview,NJ,00710,,+1-811-476-5942x71977,,sharonmcgrath@hotmail.com,Generated Invoice,Paula Davis,Credit Card,,Crime,General,1,25.3,25.3,25.3,Latest,,,,,,Davis,Paula
,Invoice,03/12/2021,41676,Paula Davis,"313 Aaron Rapid, South Barbaraview, NJ 00710",313 Aaron Rapid,,South Barbaraview,NJ,00710,,+1-811-476-5942x71977,,sharonmcgrath@hotmail.com,Generated Invoice,Paula Davis,Credit Card,,Reduce,General,3,12.06,36.18,36.18,Latest,,,,,,Davis,Paula
Total Paula Davis,,,,,,,,,,,,,,,,,,,3,,85.74000000000001,85.74000000000001,,,,,,,,,,
Christopher Garrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,07/13/2020,22165,Christopher Garrett,"337 Hill Points Suite 529, West Georgehaven, OR 47086",337 Hill Points Suite 529,,West Georgehaven,OR,47086,,650.994.8281x0866,,robertsonvictoria@gmail.com,Generated Invoice,Christopher Garrett,Credit Card,,News,General,1,49.87,49.87,49.87,Latest,,,,,,Garrett,Christopher
,Invoice,09/11/2024,84790,Christopher Garrett,"337 Hill Points Suite 529, West Georgehaven, OR 47086",337 Hill Points Suite 529,,West Georgehaven,OR,47086,,650.994.8281x0866,,robertsonvictoria@gmail.com,Generated Invoice,Christopher Garrett,Credit Card,,Return,General,5,26.9,134.5,134.5,Latest,,,,,,Garrett,Christopher
,Invoice,07/06/2019,83282,Christopher Garrett,"337 Hill Points Suite 529, West Georgehaven, OR 47086",337 Hill Points Suite 529,,West Georgehaven,OR,47086,,650.994.8281x0866,,robertsonvictoria@gmail.com,Generated Invoice,Christopher Garrett,Credit Card,,Open,General,2,36.54,73.08,73.08,Latest,,,,,,Garrett,Christopher
Total Christopher Garrett,,,,,,,,,,,,,,,,,,,3,,257.45,257.45,,,,,,,,,,
Joseph Mccoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,03/24/2016,35899,Joseph Mccoy,"79050 Henderson Stravenue, Lake Georgeville, WY 92363",79050 Henderson Stravenue,,Lake Georgeville,WY,92363,,(007)688-3592x1435,,jordanvicki@jenkins.net,Generated Invoice,Joseph Mccoy,Credit Card,,Focus,General,5,49.92,249.6,249.6,Latest,,,,,,Mccoy,Joseph
,Invoice,02/09/2024,26222,Joseph Mccoy,"79050 Henderson Stravenue, Lake Georgeville, WY 92363",79050 Henderson Stravenue,,Lake Georgeville,WY,92363,,(007)688-3592x1435,,jordanvicki@jenkins.net,Generated Invoice,Joseph Mccoy,Credit Card,,American,General,2,34.63,69.26,69.26,Latest,,,,,,Mccoy,Joseph
,Invoice,12/24/2015,86579,Joseph Mccoy,"79050 Henderson Stravenue, Lake Georgeville, WY 92363",79050 Henderson Stravenue,,Lake Georgeville,WY,92363,,(007)688-3592x1435,,jordanvicki@jenkins.net,Generated Invoice,Joseph Mccoy,Credit Card,,Manage,General,2,16.65,33.3,33.3,Latest,,,,,,Mccoy,Joseph
Total Joseph Mccoy,,,,,,,,,,,,,,,,,,,3,,352.16,352.16,,,,,,,,,,
Christopher Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,04/02/2020,32943,Christopher Hall,"3611 Ricardo Trail, Johnnychester, HI 91350",3611 Ricardo Trail,,Johnnychester,HI,91350,,(408)399-1409x404,,dgonzalez@gmail.com,Generated Invoice,Christopher Hall,Credit Card,,Pm,General,3,48.54,145.62,145.62,Latest,,,,,,Hall,Christopher
,Invoice,02/12/2021,75919,Christopher Hall,"3611 Ricardo Trail, Johnnychester, HI 91350",3611 Ricardo Trail,,Johnnychester,HI,91350,,(408)399-1409x404,,dgonzalez@gmail.com,Generated Invoice,Christopher Hall,Credit Card,,Leg,General,5,40.93,204.65,204.65,Latest,,,,,,Hall,Christopher
,Invoice,11/26/2021,67040,Christopher Hall,"3611 Ricardo Trail, Johnnychester, HI 91350",3611 Ricardo Trail,,Johnnychester,HI,91350,,(408)399-1409x404,,dgonzalez@gmail.com,Generated Invoice,Christopher Hall,Credit Card,,Doctor,General,2,5.05,10.1,10.1,Latest,,,,,,Hall,Christopher
Total Christopher Hall,,,,,,,,,,,,,,,,,,,3,,360.37,360.37,,,,,,,,,,
Paul Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,07/25/2023,47930,Paul Fisher,"61377 Daniel Fall, Charlesside, FL 35210",61377 Daniel Fall,,Charlesside,FL,35210,,5854179402,,youngbrianna@wood.com,Generated Invoice,Paul Fisher,Credit Card,,Step,General,4,21.14,84.56,84.56,Latest,,,,,,Fisher,Paul
,Invoice,03/14/2020,94109,Paul Fisher,"61377 Daniel Fall, Charlesside, FL 35210",61377 Daniel Fall,,Charlesside,FL,35210,,5854179402,,youngbrianna@wood.com,Generated Invoice,Paul Fisher,Credit Card,,Discover,General,4,41.9,167.6,167.6,Latest,,,,,,Fisher,Paul
,Invoice,01/06/2024,22223,Paul Fisher,"61377 Daniel Fall, Charlesside, FL 35210",61377 Daniel Fall,,Charlesside,FL,35210,,5854179402,,youngbrianna@wood.com,Generated Invoice,Paul Fisher,Credit Card,,This,General,1,47.62,47.62,47.62,Latest,,,,,,Fisher,Paul
Total Paul Fisher,,,,,,,,,,,,,,,,,,,3,,299.78,299.78,,,,,,,,,,
Wesley Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,11/24/2022,81665,Wesley Russell,"93178 Gregory Gateway Apt. 916, East Barbarafurt, MI 82301",93178 Gregory Gateway Apt. 916,,East Barbarafurt,MI,82301,,001-657-236-8658x33893,,lross@chavez-church.com,Generated Invoice,Wesley Russell,Credit Card,,News,General,2,39.95,79.9,79.9,Latest,,,,,,Russell,Wesley
,Invoice,12/24/2015,79704,Wesley Russell,"93178 Gregory Gateway Apt. 916, East Barbarafurt, MI 82301",93178 Gregory Gateway Apt. 916,,East Barbarafurt,MI,82301,,001-657-236-8658x33893,,lross@chavez-church.com,Generated Invoice,Wesley Russell,Credit Card,,Respond,General,1,7.62,7.62,7.62,Latest,,,,,,Russell,Wesley
,Invoice,03/25/2023,10399,Wesley Russell,"93178 Gregory Gateway Apt. 916, East Barbarafurt, MI 82301",93178 Gregory Gateway Apt. 916,,East Barbarafurt,MI,82301,,001-657-236-8658x33893,,lross@chavez-church.com,Generated Invoice,Wesley Russell,Credit Card,,Find,General,3,10.56,31.68,31.68,Latest,,,,,,Russell,Wesley
Total Wesley Russell,,,,,,,,,,,,,,,,,,,3,,119.20000000000002,119.20000000000002,,,,,,,,,,
Sandra Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,07/27/2018,52440,Sandra Daniel,"317 Carl Junctions, North Jennifer, MO 98121",317 Carl Junctions,,North Jennifer,MO,98121,,203-267-5081x1043,,hgoodwin@thomas.biz,Generated Invoice,Sandra Daniel,Credit Card,,Character,General,3,45.68,137.04,137.04,Latest,,,,,,Daniel,Sandra
,Invoice,10/06/2020,78721,Sandra Daniel,"317 Carl Junctions, North Jennifer, MO 98121",317 Carl Junctions,,North Jennifer,MO,98121,,203-267-5081x1043,,hgoodwin@thomas.biz,Generated Invoice,Sandra Daniel,Credit Card,,Set,General,2,36.86,73.72,73.72,Latest,,,,,,Daniel,Sandra
,Invoice,04/04/2021,59481,Sandra Daniel,"317 Carl Junctions, North Jennifer, MO 98121",317 Carl Junctions,,North Jennifer,MO,98121,,203-267-5081x1043,,hgoodwin@thomas.biz,Generated Invoice,Sandra Daniel,Credit Card,,Somebody,General,3,26.48,79.44,79.44,Latest,,,,,,Daniel,Sandra
Total Sandra Daniel,,,,,,,,,,,,,,,,,,,3,,290.2,290.2,,,,,,,,,,
Amanda Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,02/18/2022,88550,Amanda Sims,"9371 Olivia Forest, Cruzview, HI 49392",9371 Olivia Forest,,Cruzview,HI,49392,,+1-986-578-9390x9302,,xgilmore@gmail.com,Generated Invoice,Amanda Sims,Credit Card,,Field,General,5,19.29,96.45,96.45,Latest,,,,,,Sims,Amanda
,Invoice,06/20/2023,45305,Amanda Sims,"9371 Olivia Forest, Cruzview, HI 49392",9371 Olivia Forest,,Cruzview,HI,49392,,+1-986-578-9390x9302,,xgilmore@gmail.com,Generated Invoice,Amanda Sims,Credit Card,,Spend,General,3,45.54,136.62,136.62,Latest,,,,,,Sims,Amanda
,Invoice,10/21/2015,19303,Amanda Sims,"9371 Olivia Forest, Cruzview, HI 49392",9371 Olivia Forest,,Cruzview,HI,49392,,+1-986-578-9390x9302,,xgilmore@gmail.com,Generated Invoice,Amanda Sims,Credit Card,,Explain,General,1,15.33,15.33,15.33,Latest,,,,,,Sims,Amanda
Total Amanda Sims,,,,,,,,,,,,,,,,,,,3,,248.4,248.4,,,,,,,,,,
Jennifer Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,07/25/2018,21781,Jennifer Thomas,"1052 Daniel Lane Suite 744, Jonathanmouth, RI 16758",1052 Daniel Lane Suite 744,,Jonathanmouth,RI,16758,,001-563-934-4603x17838,,jmoreno@hotmail.com,Generated Invoice,Jennifer Thomas,Credit Card,,Group,General,4,18.75,75.0,75.0,Latest,,,,,,Thomas,Jennifer
,Invoice,05/08/2018,17794,Jennifer Thomas,"1052 Daniel Lane Suite 744, Jonathanmouth, RI 16758",1052 Daniel Lane Suite 744,,Jonathanmouth,RI,16758,,001-563-934-4603x17838,,jmoreno@hotmail.com,Generated Invoice,Jennifer Thomas,Credit Card,,Stay,General,3,22.58,67.74,67.74,Latest,,,,,,Thomas,Jennifer
,Invoice,05/20/2023,43282,Jennifer Thomas,"1052 Daniel Lane Suite 744, Jonathanmouth, RI 16758",1052 Daniel Lane Suite 744,,Jonathanmouth,RI,16758,,001-563-934-4603x17838,,jmoreno@hotmail.com,Generated Invoice,Jennifer Thomas,Credit Card,,Life,General,2,19.24,38.48,38.48,Latest,,,,,,Thomas,Jennifer
Total Jennifer Thomas,,,,,,,,,,,,,,,,,,,3,,181.22,181.22,,,,,,,,,,
Victor Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,09/13/2021,57972,Victor Floyd,"0147 Ann Via, West Kyle, AZ 82133",0147 Ann Via,,West Kyle,AZ,82133,,+1-422-818-0618x94506,,brandysims@melendez.org,Generated Invoice,Victor Floyd,Credit Card,,Believe,General,3,18.14,54.42,54.42,Latest,,,,,,Floyd,Victor
,Invoice,05/23/2023,74980,Victor Floyd,"0147 Ann Via, West Kyle, AZ 82133",0147 Ann Via,,West Kyle,AZ,82133,,+1-422-818-0618x94506,,brandysims@melendez.org,Generated Invoice,Victor Floyd,Credit Card,,Student,General,4,31.64,126.56,126.56,Latest,,,,,,Floyd,Victor
,Invoice,12/28/2020,69002,Victor Floyd,"0147 Ann Via, West Kyle, AZ 82133",0147 Ann Via,,West Kyle,AZ,82133,,+1-422-818-0618x94506,,brandysims@melendez.org,Generated Invoice,Victor Floyd,Credit Card,,Admit,General,2,31.04,62.08,62.08,Latest,,,,,,Floyd,Victor
Total Victor Floyd,,,,,,,,,,,,,,,,,,,3,,243.06,243.06,,,,,,,,,,
Nicholas Nicholson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,12/08/2020,33181,Nicholas Nicholson,"0373 Kevin Summit Suite 161, West Andrewmouth, RI 52147",0373 Kevin Summit Suite 161,,West Andrewmouth,RI,52147,,+1-696-873-8989x449,,john84@gmail.com,Generated Invoice,Nicholas Nicholson,Credit Card,,Certain,General,1,11.8,11.8,11.8,Latest,,,,,,Nicholson,Nicholas
,Invoice,12/31/2023,20090,Nicholas Nicholson,"0373 Kevin Summit Suite 161, West Andrewmouth, RI 52147",0373 Kevin Summit Suite 161,,West Andrewmouth,RI,52147,,+1-696-873-8989x449,,john84@gmail.com,Generated Invoice,Nicholas Nicholson,Credit Card,,Economy,General,2,44.39,88.78,88.78,Latest,,,,,,Nicholson,Nicholas
,Invoice,06/15/2015,94219,Nicholas Nicholson,"0373 Kevin Summit Suite 161, West Andrewmouth, RI 52147",0373 Kevin Summit Suite 161,,West Andrewmouth,RI,52147,,+1-696-873-8989x449,,john84@gmail.com,Generated Invoice,Nicholas Nicholson,Credit Card,,Research,General,3,44.81,134.43,134.43,Latest,,,,,,Nicholson,Nicholas
Total Nicholas Nicholson,,,,,,,,,,,,,,,,,,,3,,235.01,235.01,,,,,,,,,,
Monica Brown DDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,01/16/2022,92044,Monica Brown DDS,"3258 Rich Village, Monicaton, MO 07236",3258 Rich Village,,Monicaton,MO,07236,,+1-737-813-8250x60164,,christopher15@ross.com,Generated Invoice,Monica Brown DDS,Credit Card,,Lawyer,General,5,43.37,216.85,216.85,Latest,,,,,,DDS,Monica
,Invoice,09/07/2017,36388,Monica Brown DDS,"3258 Rich Village, Monicaton, MO 07236",3258 Rich Village,,Monicaton,MO,07236,,+1-737-813-8250x60164,,christopher15@ross.com,Generated Invoice,Monica Brown DDS,Credit Card,,Success,General,4,13.09,52.36,52.36,Latest,,,,,,DDS,Monica
,Invoice,05/24/2016,37432,Monica Brown DDS,"3258 Rich Village, Monicaton, MO 07236",3258 Rich Village,,Monicaton,MO,07236,,+1-737-813-8250x60164,,christopher15@ross.com,Generated Invoice,Monica Brown DDS,Credit Card,,Room,General,2,10.95,21.9,21.9,Latest,,,,,,DDS,Monica
Total Monica Brown DDS,,,,,,,,,,,,,,,,,,,3,,291.10999999999996,291.10999999999996,,,,,,,,,,
Michele Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,02/01/2019,97707,Michele Rodriguez,"449 Mitchell Roads Apt. 613, Hernandezland, IL 34579",449 Mitchell Roads Apt. 613,,Hernandezland,IL,34579,,001-908-313-8298x8661,,hancockshane@douglas.com,Generated Invoice,Michele Rodriguez,Credit Card,,Vote,General,1,11.75,11.75,11.75,Latest,,,,,,Rodriguez,Michele
,Invoice,09/06/2016,61418,Michele Rodriguez,"449 Mitchell Roads Apt. 613, Hernandezland, IL 34579",449 Mitchell Roads Apt. 613,,Hernandezland,IL,34579,,001-908-313-8298x8661,,hancockshane@douglas.com,Generated Invoice,Michele Rodriguez,Credit Card,,Everything,General,2,6.81,13.62,13.62,Latest,,,,,,Rodriguez,Michele
,Invoice,06/02/2020,26706,Michele Rodriguez,"449 Mitchell Roads Apt. 613, Hernandezland, IL 34579",449 Mitchell Roads Apt. 613,,Hernandezland,IL,34579,,001-908-313-8298x8661,,hancockshane@douglas.com,Generated Invoice,Michele Rodriguez,Credit Card,,Me,General,5,31.73,158.65,158.65,Latest,,,,,,Rodriguez,Michele
Total Michele Rodriguez,,,,,,,,,,,,,,,,,,,3,,184.02,184.02,,,,,,,,,,
Gerald Mccoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,04/13/2024,23854,Gerald Mccoy,"3074 Ramirez Estate, South Lisachester, AK 34114",3074 Ramirez Estate,,South Lisachester,AK,34114,,952-547-8984,,williamscurtis@gmail.com,Generated Invoice,Gerald Mccoy,Credit Card,,Community,General,3,48.2,144.6,144.6,Latest,,,,,,Mccoy,Gerald
,Invoice,02/02/2021,50645,Gerald Mccoy,"3074 Ramirez Estate, South Lisachester, AK 34114",3074 Ramirez Estate,,South Lisachester,AK,34114,,952-547-8984,,williamscurtis@gmail.com,Generated Invoice,Gerald Mccoy,Credit Card,,Another,General,1,32.56,32.56,32.56,Latest,,,,,,Mccoy,Gerald
,Invoice,05/17/2017,49339,Gerald Mccoy,"3074 Ramirez Estate, South Lisachester, AK 34114",3074 Ramirez Estate,,South Lisachester,AK,34114,,952-547-8984,,williamscurtis@gmail.com,Generated Invoice,Gerald Mccoy,Credit Card,,Turn,General,3,26.12,78.36,78.36,Latest,,,,,,Mccoy,Gerald
Total Gerald Mccoy,,,,,,,,,,,,,,,,,,,3,,255.51999999999998,255.51999999999998,,,,,,,,,,
Kaylee Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,04/20/2021,68846,Kaylee Freeman,"9869 Rodriguez Pines Suite 590, East Troyview, TN 84968",9869 Rodriguez Pines Suite 590,,East Troyview,TN,84968,,001-259-120-7013x488,,barryjeffery@gmail.com,Generated Invoice,Kaylee Freeman,Credit Card,,So,General,1,26.08,26.08,26.08,Latest,,,,,,Freeman,Kaylee
,Invoice,11/04/2021,28557,Kaylee Freeman,"9869 Rodriguez Pines Suite 590, East Troyview, TN 84968",9869 Rodriguez Pines Suite 590,,East Troyview,TN,84968,,001-259-120-7013x488,,barryjeffery@gmail.com,Generated Invoice,Kaylee Freeman,Credit Card,,Only,General,3,11.63,34.89,34.89,Latest,,,,,,Freeman,Kaylee
,Invoice,12/17/2018,83784,Kaylee Freeman,"9869 Rodriguez Pines Suite 590, East Troyview, TN 84968",9869 Rodriguez Pines Suite 590,,East Troyview,TN,84968,,001-259-120-7013x488,,barryjeffery@gmail.com,Generated Invoice,Kaylee Freeman,Credit Card,,Personal,General,1,7.54,7.54,7.54,Latest,,,,,,Freeman,Kaylee
Total Kaylee Freeman,,,,,,,,,,,,,,,,,,,3,,68.51,68.51,,,,,,,,,,
Michelle Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,01/11/2019,24857,Michelle Rivera,"362 Samantha Path, Dorothyport, TX 03235",362 Samantha Path,,Dorothyport,TX,03235,,(908)081-4645x777,,tcooper@allen-keller.com,Generated Invoice,Michelle Rivera,Credit Card,,Hold,General,4,32.54,130.16,130.16,Latest,,,,,,Rivera,Michelle
,Invoice,01/28/2022,61775,Michelle Rivera,"362 Samantha Path, Dorothyport, TX 03235",362 Samantha Path,,Dorothyport,TX,03235,,(908)081-4645x777,,tcooper@allen-keller.com,Generated Invoice,Michelle Rivera,Credit Card,,Huge,General,4,45.38,181.52,181.52,Latest,,,,,,Rivera,Michelle
,Invoice,04/23/2016,43699,Michelle Rivera,"362 Samantha Path, Dorothyport, TX 03235",362 Samantha Path,,Dorothyport,TX,03235,,(908)081-4645x777,,tcooper@allen-keller.com,Generated Invoice,Michelle Rivera,Credit Card,,Although,General,3,11.08,33.24,33.24,Latest,,,,,,Rivera,Michelle
Total Michelle Rivera,,,,,,,,,,,,,,,,,,,3,,344.92,344.92,,,,,,,,,,
Gabriel Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,11/26/2019,40353,Gabriel Warren,"2966 Collins Greens Apt. 505, Jesseshire, PA 67628",2966 Collins Greens Apt. 505,,Jesseshire,PA,67628,,(019)762-9379x9078,,breanna50@hotmail.com,Generated Invoice,Gabriel Warren,Credit Card,,Meeting,General,4,43.75,175.0,175.0,Latest,,,,,,Warren,Gabriel
,Invoice,06/16/2021,82959,Gabriel Warren,"2966 Collins Greens Apt. 505, Jesseshire, PA 67628",2966 Collins Greens Apt. 505,,Jesseshire,PA,67628,,(019)762-9379x9078,,breanna50@hotmail.com,Generated Invoice,Gabriel Warren,Credit Card,,Be,General,5,17.83,89.15,89.15,Latest,,,,,,Warren,Gabriel
,Invoice,12/21/2022,81676,Gabriel Warren,"2966 Collins Greens Apt. 505, Jesseshire, PA 67628",2966 Collins Greens Apt. 505,,Jesseshire,PA,67628,,(019)762-9379x9078,,breanna50@hotmail.com,Generated Invoice,Gabriel Warren,Credit Card,,Back,General,4,24.29,97.16,97.16,Latest,,,,,,Warren,Gabriel
Total Gabriel Warren,,,,,,,,,,,,,,,,,,,3,,361.30999999999995,361.30999999999995,,,,,,,,,,
Tamara Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
